Position,IMDb_ID,Title,Year,IMDb_Rating,Directors,Genres,URL
1142,tt1340800,Tinker Tailor Soldier Spy,2011,7.0,Tomas Alfredson,"Drama, Mystery, Thriller",https://www.imdb.com/title/tt1340800/
1150,tt1259521,The Cabin in the Woods,2011,7.0,Drew Goddard,"Horror, Mystery, Thriller",https://www.imdb.com/title/tt1259521/
46,tt0019286,Storm Over Asia,1928,6.9,Vsevolod Pudovkin,"Drama, War",https://www.imdb.com/title/tt0019286/
50,tt0019702,Blackmail,1929,6.9,Alfred Hitchcock,"Crime, Drama, Mystery, Thriller",https://www.imdb.com/title/tt0019702/
77,tt0023814,The Bitter Tea of General Yen,1932,6.9,Frank Capra,"Drama, Romance, War",https://www.imdb.com/title/tt0023814/
91,tt0024894,The Black Cat,1934,6.9,Edgar G. Ulmer,"Crime, Horror, Romance, Thriller",https://www.imdb.com/title/tt0024894/
100,tt0026866,Peter Ibbetson,1935,6.9,Henry Hathaway,"Drama, Fantasy, Romance",https://www.imdb.com/title/tt0026866/
247,tt0043899,Pandora and the Flying Dutchman,1951,6.9,Albert Lewin,"Drama, Fantasy, Mystery, Romance",https://www.imdb.com/title/tt0043899/
263,tt0044419,The Big Sky,1952,6.9,Howard Hawks,"Adventure, Drama, Western",https://www.imdb.com/title/tt0044419/
288,tt0046754,The Barefoot Contessa,1954,6.9,Joseph L. Mankiewicz,"Crime, Drama, Mystery, Romance",https://www.imdb.com/title/tt0046754/
327,tt0049314,High Society,1956,6.9,Charles Walters,"Comedy, Musical, Romance",https://www.imdb.com/title/tt0049314/
439,tt0058333,The Masque of the Red Death,1964,6.9,Roger Corman,"Drama, Horror",https://www.imdb.com/title/tt0058333/
469,tt0059079,Come Drink with Me,1966,6.9,King Hu,"Action, Crime",https://www.imdb.com/title/tt0059079/
484,tt0062480,Weekend,1967,6.9,Jean-Luc Godard,"Adventure, Comedy, Drama",https://www.imdb.com/title/tt0062480/
536,tt0066601,Zabriskie Point,1970,6.9,Michelangelo Antonioni,Drama,https://www.imdb.com/title/tt0066601/
547,tt0067204,The Hired Hand,1971,6.9,Peter Fonda,"Drama, Western",https://www.imdb.com/title/tt0067204/
641,tt0076299,The Last Wave,1977,6.9,Peter Weir,"Drama, Fantasy, Mystery, Thriller",https://www.imdb.com/title/tt0076299/
662,tt0078446,Up in Smoke,1978,6.9,"Lou Adler, Tommy Chong","Adventure, Comedy, Music",https://www.imdb.com/title/tt0078446/
748,tt0086497,Utu,1983,6.9,Geoff Murphy,"Adventure, Drama, History, War",https://www.imdb.com/title/tt0086497/
787,tt0094349,Yeelen,1987,6.9,Souleymane Cissé,"Drama, Fantasy",https://www.imdb.com/title/tt0094349/
850,tt0099939,King of New York,1990,6.9,Abel Ferrara,"Crime, Thriller",https://www.imdb.com/title/tt0099939/
876,tt0102511,Naked Lunch,1991,6.9,David Cronenberg,"Drama, Mystery",https://www.imdb.com/title/tt0102511/
889,tt0103634,Aileen Wuornos: The Selling of a Serial Killer,1992,6.9,Nick Broomfield,"Documentary, Crime",https://www.imdb.com/title/tt0103634/
926,tt0112431,Babe,1995,6.9,Chris Noonan,"Comedy, Drama, Family",https://www.imdb.com/title/tt0112431/
981,tt0096251,Tetsuo: The Iron Man,1989,6.9,Shin'ya Tsukamoto,"Horror, Sci-Fi",https://www.imdb.com/title/tt0096251/
1215,tt3104988,Crazy Rich Asians,2018,6.9,Jon M. Chu,"Comedy, Drama, Romance",https://www.imdb.com/title/tt3104988/
1222,tt5688932,Sorry to Bother You,2018,6.9,Boots Riley,"Comedy, Drama, Fantasy, Sci-Fi",https://www.imdb.com/title/tt5688932/
1241,tt10514222,Ma Rainey's Black Bottom,2020,6.9,George C. Wolfe,"Drama, Music",https://www.imdb.com/title/tt10514222/
149,tt0032376,"Dance, Girl, Dance",1940,6.8,"Dorothy Arzner, Roy Del Ruth","Comedy, Drama, Music",https://www.imdb.com/title/tt0032376/
270,tt0045557,The Bigamist,1953,6.8,Ida Lupino,"Drama, Film-Noir",https://www.imdb.com/title/tt0045557/
287,tt0047495,Silver Lode,1954,6.8,Allan Dwan,"Drama, Western",https://www.imdb.com/title/tt0047495/
291,tt0046828,Carmen Jones,1954,6.8,Otto Preminger,"Drama, Musical, Romance",https://www.imdb.com/title/tt0046828/
437,tt0058555,Scorpio Rising,1963,6.8,Kenneth Anger,"Short, Music",https://www.imdb.com/title/tt0058555/
440,tt0056371,Before the Revolution,1964,6.8,Bernardo Bertolucci,"Drama, Romance",https://www.imdb.com/title/tt0056371/
512,tt0064940,Satyricon,1969,6.8,Federico Fellini,"Drama, Fantasy",https://www.imdb.com/title/tt0064940/
530,tt0066413,The Spider's Stratagem,1970,6.8,Bernardo Bertolucci,"Drama, Mystery",https://www.imdb.com/title/tt0066413/
570,tt0070849,Last Tango in Paris,1972,6.8,Bernardo Bertolucci,"Drama, Romance",https://www.imdb.com/title/tt0070849/
597,tt0070155,The Harder They Come,1972,6.8,Perry Henzell,"Crime, Drama, Music",https://www.imdb.com/title/tt0070155/
651,tt0076666,Saturday Night Fever,1977,6.8,John Badham,"Drama, Music",https://www.imdb.com/title/tt0076666/
680,tt0079501,Mad Max,1979,6.8,George Miller,"Action, Adventure, Sci-Fi, Thriller",https://www.imdb.com/title/tt0079501/
769,tt0091939,She's Gotta Have It,1986,6.8,Spike Lee,"Comedy, Romance",https://www.imdb.com/title/tt0091939/
784,tt0090907,The Horse Thief,1986,6.8,"Zhuangzhuang Tian, Peicheng Pan",Drama,https://www.imdb.com/title/tt0090907/
877,tt0105275,Romper Stomper,1992,6.8,Geoffrey Wright,"Crime, Drama, Thriller",https://www.imdb.com/title/tt0105275/
948,tt0117968,Three Lives and Only One Death,1996,6.8,Raúl Ruiz,"Comedy, Crime, Fantasy, Mystery",https://www.imdb.com/title/tt0117968/
1196,tt4273292,Under the Shadow,2016,6.8,Babak Anvari,"Drama, Fantasy, Horror, Thriller, War",https://www.imdb.com/title/tt4273292/
1204,tt4291600,Lady Macbeth,2016,6.8,William Oldroyd,"Drama, Romance",https://www.imdb.com/title/tt4291600/
1233,tt6062774,Monos,2019,6.8,Alejandro Landes,"Adventure, Drama, Thriller",https://www.imdb.com/title/tt6062774/
1255,tt1517268,Barbie,2023,6.8,Greta Gerwig,"Adventure, Comedy, Fantasy",https://www.imdb.com/title/tt1517268/
171,tt0036341,The Seventh Victim,1943,6.7,Mark Robson,"Drama, Horror, Mystery",https://www.imdb.com/title/tt0036341/
456,tt0129222,The Man Who Had His Hair Cut Short,1965,6.7,André Delvaux,Drama,https://www.imdb.com/title/tt0129222/
537,tt0066214,Performance,1970,6.7,"Donald Cammell, Nicolas Roeg","Crime, Drama",https://www.imdb.com/title/tt0066214/
553,tt0067467,Red Psalm,1972,6.7,Miklós Jancsó,"Drama, Musical, War",https://www.imdb.com/title/tt0067467/
718,tt0086369,A Question of Silence,1982,6.7,Marleen Gorris,Drama,https://www.imdb.com/title/tt0086369/
736,tt0085426,The Last Battle,1983,6.7,Luc Besson,Sci-Fi,https://www.imdb.com/title/tt0085426/
749,tt0089841,Prizzi's Honor,1985,6.7,John Huston,"Comedy, Crime, Drama, Romance",https://www.imdb.com/title/tt0089841/
759,tt0089869,The Quiet Earth,1985,6.7,Geoff Murphy,"Drama, Mystery, Sci-Fi",https://www.imdb.com/title/tt0089869/
813,tt0096337,A Tale of the Wind,1988,6.7,Joris Ivens,"Drama, Fantasy",https://www.imdb.com/title/tt0096337/
828,tt0094606,The Accidental Tourist,1988,6.7,Lawrence Kasdan,"Comedy, Drama, Romance",https://www.imdb.com/title/tt0094606/
847,tt0100536,"No Fear, No Die",1990,6.7,Claire Denis,Drama,https://www.imdb.com/title/tt0100536/
888,tt0103919,Candyman,1992,6.7,Bernard Rose,"Horror, Thriller",https://www.imdb.com/title/tt0103919/
1236,tt6803046,The Vast of Night,2019,6.7,Andrew Patterson,"Drama, Mystery, Sci-Fi, Thriller",https://www.imdb.com/title/tt6803046/
12,tt0013626,The Smiling Madame Beudet,1923,6.6,Germaine Dulac,"Short, Drama",https://www.imdb.com/title/tt0013626/
26,tt0015772,The Eagle,1925,6.6,Clarence Brown,"Action, Adventure, Comedy, Drama, History, Romance",https://www.imdb.com/title/tt0015772/
74,tt0023202,Me and My Gal,1932,6.6,Raoul Walsh,"Comedy, Drama, Romance",https://www.imdb.com/title/tt0023202/
107,tt0028358,Things to Come,1936,6.6,William Cameron Menzies,"Drama, Sci-Fi, War",https://www.imdb.com/title/tt0028358/
190,tt0036630,San Pietro,1945,6.6,John Huston,"Documentary, Short, War",https://www.imdb.com/title/tt0036630/
214,tt0040766,Secret Beyond the Door...,1947,6.6,Fritz Lang,"Drama, Film-Noir, Mystery, Romance, Thriller",https://www.imdb.com/title/tt0040766/
218,tt0040679,The Paleface,1948,6.6,Norman Z. McLeod,"Comedy, Family, Western",https://www.imdb.com/title/tt0040679/
344,tt0051658,Gigi,1958,6.6,"Vincente Minnelli, Charles Walters","Comedy, Musical, Romance",https://www.imdb.com/title/tt0051658/
388,tt0054861,The Exiles,1961,6.6,Kent Mackenzie,Drama,https://www.imdb.com/title/tt0054861/
426,tt0057372,The Nutty Professor,1963,6.6,Jerry Lewis,"Comedy, Romance, Sci-Fi",https://www.imdb.com/title/tt0057372/
459,tt0059170,"Faster, Pussycat! Kill! Kill!",1965,6.6,Russ Meyer,"Action, Comedy",https://www.imdb.com/title/tt0059170/
548,tt0067958,WR: Mysteries of the Organism,1971,6.6,Dusan Makavejev,"Comedy, Drama, Fantasy",https://www.imdb.com/title/tt0067958/
555,tt0067741,Shaft,1971,6.6,Gordon Parks,"Action, Crime, Thriller",https://www.imdb.com/title/tt0067741/
629,tt0074851,The Man Who Fell to Earth,1976,6.6,Nicolas Roeg,"Drama, Sci-Fi",https://www.imdb.com/title/tt0074851/
637,tt0074102,In the Realm of the Senses,1976,6.6,Nagisa Ôshima,"Drama, Romance",https://www.imdb.com/title/tt0074102/
644,tt0077309,Outsiders,1977,6.6,Ousmane Sembene,Drama,https://www.imdb.com/title/tt0077309/
691,tt0081076,Loulou,1980,6.6,Maurice Pialat,"Drama, Romance",https://www.imdb.com/title/tt0081076/
1194,tt1619029,Jackie,2016,6.6,Pablo Larraín,"Biography, Drama",https://www.imdb.com/title/tt1619029/
1209,tt5109784,Mother!,2017,6.6,Darren Aronofsky,"Drama, Horror, Mystery",https://www.imdb.com/title/tt5109784/
1239,tt7557108,Saint Maud,2019,6.6,Rose Glass,"Drama, Horror, Mystery, Thriller",https://www.imdb.com/title/tt7557108/
47,tt0020286,A Throw of Dice,1929,6.5,Franz Osten,"Adventure, Drama, Romance",https://www.imdb.com/title/tt0020286/
172,tt0036135,The Man in Grey,1943,6.5,Leslie Arliss,"Drama, History, Romance",https://www.imdb.com/title/tt0036135/
302,tt0048363,The Mad Masters,1955,6.5,Jean Rouch,"Documentary, Short, Horror",https://www.imdb.com/title/tt0048363/
476,tt0060304,2 or 3 Things I Know About Her,1967,6.5,Jean-Luc Godard,"Comedy, Drama",https://www.imdb.com/title/tt0060304/
502,tt0062864,David Holzman's Diary,1967,6.5,Jim McBride,"Comedy, Drama",https://www.imdb.com/title/tt0062864/
771,tt0090798,Caravaggio,1986,6.5,Derek Jarman,"Biography, Drama, History, Romance",https://www.imdb.com/title/tt0090798/
839,tt0096841,The Asthenic Syndrome,1989,6.5,Kira Muratova,Drama,https://www.imdb.com/title/tt0096841/
956,tt0114134,The Pillow Book,1996,6.5,Peter Greenaway,Drama,https://www.imdb.com/title/tt0114134/
8,tt0011870,Within Our Gates,1920,6.4,Oscar Micheaux,"Drama, Romance",https://www.imdb.com/title/tt0011870/
38,tt0018037,The Jazz Singer,1927,6.4,Alan Crosland,"Drama, Music, Musical, Romance",https://www.imdb.com/title/tt0018037/
167,tt0035881,Fires Were Started,1943,6.4,Humphrey Jennings,"Drama, War",https://www.imdb.com/title/tt0035881/
224,tt0040550,Louisiana Story,1948,6.4,Robert J. Flaherty,"Adventure, Drama",https://www.imdb.com/title/tt0040550/
280,tt0046414,Beat the Devil,1953,6.4,John Huston,"Action, Adventure, Comedy, Crime, Drama, Romance",https://www.imdb.com/title/tt0046414/
300,tt0047840,Artists and Models,1955,6.4,Frank Tashlin,"Comedy, Musical, Romance",https://www.imdb.com/title/tt0047840/
425,tt0056952,The Cool World,1963,6.4,Shirley Clarke,"Crime, Drama",https://www.imdb.com/title/tt0056952/
577,tt0069332,Super Fly,1972,6.4,Gordon Parks Jr.,"Action, Crime, Drama, Music, Thriller",https://www.imdb.com/title/tt0069332/
78,tt0024548,She Done Him Wrong,1933,6.3,Lowell Sherman,"Comedy, Drama, History, Musical, Romance",https://www.imdb.com/title/tt0024548/
140,tt0031066,Babes in Arms,1939,6.3,Busby Berkeley,"Comedy, Musical",https://www.imdb.com/title/tt0031066/
392,tt0055069,The Ladies Man,1961,6.3,Jerry Lewis,Comedy,https://www.imdb.com/title/tt0055069/
475,tt0130976,Report,1967,6.3,Bruce Conner,"Short, History",https://www.imdb.com/title/tt0130976/
648,tt0076725,Sleeping Dogs,1977,6.3,Roger Donaldson,"Action, Drama, Thriller",https://www.imdb.com/title/tt0076725/
655,tt0077681,The Hills Have Eyes,1977,6.3,Wes Craven,"Horror, Thriller",https://www.imdb.com/title/tt0077681/
854,tt0099053,Archangel,1990,6.3,Guy Maddin,"Comedy, Drama, Romance, War",https://www.imdb.com/title/tt0099053/
862,tt0102757,The Rapture,1991,6.3,Michael Tolkin,"Drama, Mystery, Thriller",https://www.imdb.com/title/tt0102757/
1171,tt1441395,Under the Skin,2013,6.3,Jonathan Glazer,"Drama, Horror, Mystery, Sci-Fi, Thriller",https://www.imdb.com/title/tt1441395/
1237,tt9000224,The Assistant,2019,6.3,Kitty Green,Drama,https://www.imdb.com/title/tt9000224/
93,tt0025335,Judge Priest,1934,6.2,John Ford,"Comedy, Drama, Romance",https://www.imdb.com/title/tt0025335/
398,tt5896468,Dog Star Man,1964,6.2,Stan Brakhage,"Fantasy, Mystery, Drama",https://www.imdb.com/title/tt5896468/
408,tt0057318,A Dog's Life,1962,6.2,"Paolo Cavara, Gualtiero Jacopetti, Franco Prosperi","Documentary, Horror",https://www.imdb.com/title/tt0057318/
3,tt0004972,The Birth of a Nation,1915,6.1,D.W. Griffith,"Drama, War",https://www.imdb.com/title/tt0004972/
115,tt0206442,Song at Midnight,1937,6.1,Weibang Ma-Xu,"Horror, Romance",https://www.imdb.com/title/tt0206442/
627,tt0073166,India Song,1975,6.1,Marguerite Duras,"Drama, Fantasy, Romance",https://www.imdb.com/title/tt0073166/
575,tt0069089,Pink Flamingos,1972,6.0,John Waters,"Comedy, Crime",https://www.imdb.com/title/tt0069089/
428,tt0197719,Mediterranean,1963,5.9,Jean-Daniel Pollet,"Documentary, Short",https://www.imdb.com/title/tt0197719/
649,tt0076293,Last Chants for a Slow Dance,1977,5.9,Jon Jost,Drama,https://www.imdb.com/title/tt0076293/
624,tt0073650,"Salò, or the 120 Days of Sodom",1975,5.8,Pier Paolo Pasolini,Drama,https://www.imdb.com/title/tt0073650/
925,tt0131356,Deseret,1995,5.8,James Benning,Documentary,https://www.imdb.com/title/tt0131356/
1018,tt0230783,Signs & Wonders,2000,5.8,"Jonathan Nossiter, Natalie Douka",Drama,https://www.imdb.com/title/tt0230783/
303,tt0048121,Hill 24 Doesn't Answer,1955,5.7,Thorold Dickinson,"Adventure, Drama, Romance, War",https://www.imdb.com/title/tt0048121/
556,tt0067810,Sweet Sweetback's Baadasssss Song,1971,5.5,Melvin Van Peebles,"Crime, Drama, Thriller",https://www.imdb.com/title/tt0067810/
707,tt0083230,Too Early/Too Late,1981,5.4,"Danièle Huillet, Jean-Marie Straub",Documentary,https://www.imdb.com/title/tt0083230/
465,tt0060511,Hold Me While I'm Naked,1966,5.3,George Kuchar,"Short, Comedy, Drama",https://www.imdb.com/title/tt0060511/
486,tt0127354,Wavelength,1967,5.3,Michael Snow,Drama,https://www.imdb.com/title/tt0127354/
403,tt0056060,Heaven and Earth Magic,1962,5.0,Harry Smith,"Animation, Fantasy",https://www.imdb.com/title/tt0056060/
417,tt0054880,Flaming Creatures,1963,4.5,Jack Smith,"Comedy, Drama, Horror",https://www.imdb.com/title/tt0054880/
460,tt0059880,Vinyl,1965,4.1,Andy Warhol,Sci-Fi,https://www.imdb.com/title/tt0059880/
424,tt0138329,Blonde Cobra,1963,2.9,Ken Jacobs,Short,https://www.imdb.com/title/tt0138329/
