Position,IMDb_ID,Title,Year,IMDb_Rating,Directors,Genres,URL
294,tt0047472,Seven Brides for Seven Brothers,1954,7.3,Stanley Donen,"Comedy, Musical, Romance, Western",https://www.imdb.com/title/tt0047472/
307,tt0048347,The Man with the Golden Arm,1955,7.3,Otto Preminger,"Crime, Drama, Romance",https://www.imdb.com/title/tt0048347/
316,tt0048342,The Man from Laramie,1955,7.3,Anthony Mann,"Drama, Western",https://www.imdb.com/title/tt0048342/
321,tt0049966,Written on the Wind,1956,7.3,Douglas Sirk,Drama,https://www.imdb.com/title/tt0049966/
422,tt0057495,Shock Corridor,1963,7.3,Samuel Fuller,"Drama, Mystery, Thriller",https://www.imdb.com/title/tt0057495/
429,tt0057710,An Actor's Revenge,1963,7.3,Kon Ichikawa,"Action, Comedy, Drama",https://www.imdb.com/title/tt0057710/
445,tt0058138,Gertrud,1964,7.3,Carl Theodor Dreyer,"Drama, Romance",https://www.imdb.com/title/tt0058138/
464,tt0056537,Subarnarekha,1965,7.3,Ritwik Ghatak,Drama,https://www.imdb.com/title/tt0056537/
488,tt0062352,Entranced Earth,1967,7.3,Glauber Rocha,Drama,https://www.imdb.com/title/tt0062352/
491,tt0061781,The Firemen's Ball,1967,7.3,Milos Forman,"Comedy, Drama",https://www.imdb.com/title/tt0061781/
508,tt0063671,Targets,1968,7.3,Peter Bogdanovich,"Crime, Drama, Thriller",https://www.imdb.com/title/tt0063671/
526,tt0064106,The Butcher,1970,7.3,Claude Chabrol,"Drama, Mystery, Thriller",https://www.imdb.com/title/tt0064106/
535,tt0066026,M*A*S*H,1970,7.3,Robert Altman,"Comedy, Drama, War",https://www.imdb.com/title/tt0066026/
554,tt0067128,Get Carter,1971,7.3,Mike Hodges,"Crime, Thriller",https://www.imdb.com/title/tt0067128/
647,tt0076786,Suspiria,1977,7.3,Dario Argento,Horror,https://www.imdb.com/title/tt0076786/
659,tt0077318,The Chant of Jimmie Blacksmith,1978,7.3,Fred Schepisi,"Biography, Crime, Drama, History",https://www.imdb.com/title/tt0077318/
686,tt0080388,Atlantic City,1980,7.3,Louis Malle,"Crime, Drama, Romance",https://www.imdb.com/title/tt0080388/
687,tt0080610,The Last Metro,1980,7.3,François Truffaut,"Drama, Romance, War",https://www.imdb.com/title/tt0080610/
701,tt0082222,Man of Iron,1981,7.3,Andrzej Wajda,"Drama, History",https://www.imdb.com/title/tt0082222/
702,tt0082979,Reds,1981,7.3,Warren Beatty,"Biography, Drama, History, Romance",https://www.imdb.com/title/tt0082979/
705,tt0083907,The Evil Dead,1981,7.3,Sam Raimi,Horror,https://www.imdb.com/title/tt0083907/
708,tt0084516,Poltergeist,1982,7.3,Tobe Hooper,"Horror, Thriller",https://www.imdb.com/title/tt0084516/
734,tt0085859,Local Hero,1983,7.3,Bill Forsyth,"Comedy, Drama",https://www.imdb.com/title/tt0085859/
743,tt0087892,A Passage to India,1984,7.3,David Lean,"Adventure, Drama, History",https://www.imdb.com/title/tt0087892/
758,tt0089424,Kiss of the Spider Woman,1985,7.3,Hector Babenco,Drama,https://www.imdb.com/title/tt0089424/
772,tt0091886,Salvador,1986,7.3,Oliver Stone,"Drama, History, Thriller, War",https://www.imdb.com/title/tt0091886/
786,tt0093822,Raising Arizona,1987,7.3,"Joel Coen, Ethan Coen","Comedy, Crime",https://www.imdb.com/title/tt0093822/
792,tt0093978,A Chinese Ghost Story,1987,7.3,Siu-Tung Ching,"Action, Fantasy, Horror",https://www.imdb.com/title/tt0093978/
794,tt0092699,Broadcast News,1987,7.3,James L. Brooks,"Comedy, Drama, Romance",https://www.imdb.com/title/tt0092699/
796,tt0093105,"Good Morning, Vietnam",1987,7.3,Barry Levinson,"Biography, Comedy, Drama, War",https://www.imdb.com/title/tt0093105/
798,tt0094291,Wall Street,1987,7.3,Oliver Stone,"Crime, Drama",https://www.imdb.com/title/tt0094291/
800,tt0093206,Red Sorghum,1988,7.3,Yimou Zhang,"Drama, History, Romance, War",https://www.imdb.com/title/tt0093206/
845,tt0098258,Say Anything,1989,7.3,Cameron Crowe,"Comedy, Drama, Romance",https://www.imdb.com/title/tt0098258/
900,tt0108328,Thirty Two Short Films About Glenn Gould,1993,7.3,François Girard,"Biography, Drama, Music",https://www.imdb.com/title/tt0108328/
905,tt0111019,Wild Reeds,1994,7.3,André Téchiné,"Drama, Romance",https://www.imdb.com/title/tt0111019/
1016,tt0260688,Ali Zaoua: Prince of the Streets,2000,7.3,Nabil Ayouch,"Drama, Crime",https://www.imdb.com/title/tt0260688/
1058,tt0368913,Osama,2003,7.3,Siddiq Barmak,Drama,https://www.imdb.com/title/tt0368913/
1193,tt3040964,The Jungle Book,2016,7.3,Jon Favreau,"Animation, Action, Adventure, Drama, Family, Fantasy, Musical",https://www.imdb.com/title/tt3040964/
1212,tt1825683,Black Panther,2018,7.3,Ryan Coogler,"Action, Adventure, Sci-Fi",https://www.imdb.com/title/tt1825683/
1220,tt7784604,Hereditary,2018,7.3,Ari Aster,"Drama, Horror, Mystery, Thriller",https://www.imdb.com/title/tt7784604/
1240,tt6723592,Tenet,2020,7.3,Christopher Nolan,"Action, Sci-Fi, Thriller",https://www.imdb.com/title/tt6723592/
1243,tt7772582,Never Rarely Sometimes Always,2020,7.3,Eliza Hittman,Drama,https://www.imdb.com/title/tt7772582/
1245,tt9770150,Nomadland,2020,7.3,Chloé Zhao,Drama,https://www.imdb.com/title/tt9770150/
1258,tt6587046,The Boy and the Heron,2023,7.3,Hayao Miyazaki,"Animation, Adventure, Drama, Fantasy",https://www.imdb.com/title/tt6587046/
1259,tt7160372,The Zone of Interest,2023,7.3,Jonathan Glazer,"Drama, History, War",https://www.imdb.com/title/tt7160372/
2,tt0000439,The Great Train Robbery,1903,7.2,Edwin S. Porter,"Short, Action, Adventure, Crime, Drama, Western",https://www.imdb.com/title/tt0000439/
7,tt0009968,Broken Blossoms,1919,7.2,D.W. Griffith,"Drama, Romance",https://www.imdb.com/title/tt0009968/
54,tt0021577,L'Age d'Or,1930,7.2,Luis Buñuel,"Comedy, Drama",https://www.imdb.com/title/tt0021577/
55,tt0021571,Earth,1930,7.2,Aleksandr Dovzhenko,Drama,https://www.imdb.com/title/tt0021571/
68,tt0022718,Boudu Saved from Drowning,1932,7.2,Jean Renoir,Comedy,https://www.imdb.com/title/tt0022718/
80,tt0024803,Zero de Conduite,1933,7.2,Jean Vigo,Drama,https://www.imdb.com/title/tt0024803/
135,tt0031398,Gunga Din,1939,7.2,George Stevens,"Adventure, Comedy, War",https://www.imdb.com/title/tt0031398/
153,tt0034398,The Wolf Man,1941,7.2,George Waggner,"Horror, Mystery, Romance",https://www.imdb.com/title/tt0034398/
158,tt0033563,Dumbo,1941,7.2,"Samuel Armstrong, Norman Ferguson, Wilfred Jackson, Jack Kinney, Bill Roberts, Ben Sharpsteen","Animation, Adventure, Drama, Family, Fantasy, Musical",https://www.imdb.com/title/tt0033563/
166,tt0034587,Cat People,1942,7.2,Jacques Tourneur,"Fantasy, Horror, Thriller",https://www.imdb.com/title/tt0034587/
215,tt0040366,Force of Evil,1948,7.2,Abraham Polonsky,"Crime, Drama, Film-Noir",https://www.imdb.com/title/tt0040366/
262,tt0044357,Angel Face,1952,7.2,Otto Preminger,"Crime, Drama, Film-Noir, Romance, Thriller",https://www.imdb.com/title/tt0044357/
275,tt0046511,Journey to Italy,1954,7.2,Roberto Rossellini,"Drama, Romance",https://www.imdb.com/title/tt0046511/
295,tt0047834,Animal Farm,1954,7.2,"Joy Batchelor, John Halas","Animation, Drama",https://www.imdb.com/title/tt0047834/
296,tt0048308,Lola Montès,1955,7.2,Max Ophüls,"Biography, Drama, Romance",https://www.imdb.com/title/tt0048308/
306,tt0048488,The Phenix City Story,1955,7.2,Phil Karlson,"Crime, Drama, Film-Noir",https://www.imdb.com/title/tt0048488/
352,tt0052218,Some Came Running,1958,7.2,Vincente Minnelli,"Drama, Romance",https://www.imdb.com/title/tt0052218/
353,tt0051554,Horror of Dracula,1958,7.2,Terence Fisher,"Drama, Horror",https://www.imdb.com/title/tt0051554/
363,tt0053270,Shadows,1958,7.2,John Cassavetes,"Drama, Music, Romance",https://www.imdb.com/title/tt0053270/
376,tt0150980,The Housemaid,1960,7.2,Kim Ki-young,"Crime, Drama, Horror, Thriller",https://www.imdb.com/title/tt0150980/
468,tt0060959,Daisies,1966,7.2,Vera Chytilová,Comedy,https://www.imdb.com/title/tt0060959/
482,tt0062138,Point Blank,1967,7.2,John Boorman,"Crime, Drama, Thriller",https://www.imdb.com/title/tt0062138/
518,tt0064276,Easy Rider,1969,7.2,Dennis Hopper,"Adventure, Drama",https://www.imdb.com/title/tt0064276/
527,tt0067866,El Topo,1970,7.2,Alejandro Jodorowsky,"Drama, Western",https://www.imdb.com/title/tt0067866/
540,tt0065777,The Garden of the Finzi-Continis,1970,7.2,Vittorio De Sica,"Drama, History, War",https://www.imdb.com/title/tt0065777/
561,tt0067893,Two-Lane Blacktop,1971,7.2,Monte Hellman,Drama,https://www.imdb.com/title/tt0067893/
572,tt0068575,Fat City,1972,7.2,John Huston,"Drama, Sport",https://www.imdb.com/title/tt0068575/
594,tt0070518,Pat Garrett & Billy the Kid,1973,7.2,Sam Peckinpah,"Biography, Drama, Western",https://www.imdb.com/title/tt0070518/
611,tt0071381,Celine and Julie Go Boating,1974,7.2,Jacques Rivette,"Comedy, Drama, Fantasy, Mystery",https://www.imdb.com/title/tt0071381/
632,tt0074749,The Killing of a Chinese Bookie,1976,7.2,John Cassavetes,"Crime, Drama, Thriller",https://www.imdb.com/title/tt0074749/
652,tt0076263,Killer of Sheep,1978,7.2,Charles Burnett,Drama,https://www.imdb.com/title/tt0076263/
